,label,area,mean_intensity-0,mean_intensity-1,mean_intensity-2
0,5,198804,48.442641999154944,53.597759602422485,47.37398643890465
1,6,3654,216.61932129173508,208.68253968253967,215.51176792556103
2,7,4042,236.2634834240475,236.06556160316674,236.0291934685799
3,8,3631,218.53043238777195,212.2990911594602,215.4486367391903
4,9,3586,208.38789737869493,197.28276631344116,207.8733965421082
5,10,3644,218.2406695938529,211.8043358946213,214.02332601536773
6,11,3697,214.02515553151204,205.7249120908845,211.3738166080606
7,12,3837,219.20145947354703,214.04091738337243,216.37529319781078
8,13,3586,186.21528165086448,167.31567205800334,188.15225878416064
9,14,3842,211.52967204580946,200.8722019781364,211.20041644976575
10,15,3772,234.57873806998938,234.4931071049841,234.4931071049841
11,16,3518,198.53979533826038,185.22370665150655,199.02643547470154
12,17,3549,193.27528881375036,176.60834037757115,197.5942519019442
13,18,3744,214.58493589743588,207.23904914529913,211.15678418803418
14,19,3571,212.50798095771492,206.11705404648558,212.45421450574068
15,20,3548,208.98196166854567,198.18094701240136,208.37626832018037
16,21,3712,177.15678879310346,153.43723060344828,178.56061422413794
17,22,3790,196.37810026385225,180.97941952506596,196.9952506596306
18,23,3800,234.1915789473684,233.79447368421052,233.85368421052632
19,24,3554,204.37225661226788,191.75098480585257,206.25267304445694
20,25,3796,190.37328767123287,172.5358271865121,194.30927291886195
21,26,3880,215.49768041237112,209.6659793814433,213.33969072164948
22,27,3468,205.46856978085353,193.87370242214533,204.22231833910035
23,28,3714,205.72455573505655,193.92999461497038,206.41464728056005
24,29,3000,183.87,161.02866666666668,180.96533333333332
25,30,3805,205.1658344283837,192.0580814717477,208.31011826544022
26,31,4043,233.98293346524858,233.6074697007173,233.61958941380163
27,32,3220,201.92360248447204,188.7391304347826,204.9835403726708
28,33,3747,202.93755004003202,188.757139044569,207.2994395516413
29,34,4068,218.8795476892822,213.1310226155359,214.67477876106196
30,35,3813,211.66561762391817,202.0524521374246,210.0180959874115
31,36,3775,203.31046357615895,190.7160264900662,205.90119205298012
32,37,3728,178.862660944206,155.71298283261802,182.24195278969958
33,38,3766,198.68215613382898,184.2283590015932,203.07434944237917
34,39,4042,233.9967837704107,233.63854527461652,233.66427511133102
35,40,3591,203.62071846282373,190.994708994709,206.4901141743247
36,41,3810,199.38136482939632,184.51443569553805,204.0488188976378
37,42,3829,205.29929485505355,192.57351788978846,207.10681640114913
38,43,3268,207.1184210526316,195.984088127295,205.64412484700122
39,44,3696,207.61309523809524,195.94209956709958,209.22591991341992
40,45,3860,188.87150259067357,172.5880829015544,193.3839378238342
41,46,3639,196.87633965375102,181.92525419071174,200.66281945589446
42,47,3933,233.6931095855581,233.30409356725147,233.33790999237223
43,48,3541,201.74781135272522,188.56565941824343,204.65941824343406
44,49,3710,196.9266846361186,181.27789757412398,201.7967654986523
45,50,3631,200.73395758744147,187.98622968879096,202.51638667033876
46,51,3722,211.00107469102633,202.3662009672219,208.21413218699624
47,52,3856,204.79149377593362,192.80990663900414,205.00648340248964
48,53,3828,178.7991118077325,156.50417972831767,182.1026645768025
49,54,3885,204.47902187902187,191.30579150579152,206.91351351351352
50,55,4111,235.8384821211384,235.35076623692532,235.1797616151788
51,56,3687,209.40412259289394,198.41144561974505,210.8375372931923
52,57,3653,196.6274295099918,180.87955105392828,202.0035587188612
53,58,3768,200.11146496815286,186.38906581740977,203.89676220806794
54,59,3738,212.6222578919208,203.37346174424826,210.22418405564474
55,60,3643,213.8847104035136,205.50013724951964,212.52868514960198
56,61,3864,184.35662525879917,166.6633022774327,187.56651138716356
57,62,3754,212.41449120937668,201.89850825785828,212.3905167820991
58,63,4092,237.57771260997066,237.53494623655914,237.21847507331378
59,64,3850,218.81142857142856,212.49142857142857,214.21272727272728
60,65,3914,202.5702606029637,188.34823709759837,206.2156361778232
61,66,3836,220.876173096976,216.31934306569343,217.75808133472367
62,67,3471,210.81763180639584,201.54624027657735,207.88101411696917
63,68,3883,212.4676796291527,203.6474375482874,208.87020345093998
64,69,3881,179.77170832259728,157.17598557072918,177.86498325173923
65,255,16537,213.48944790469855,41.51055209530144,0.0
